Date,HouseID,Visit_Type,Room,ave_by_Month,t_mean_ext
2016-12-01,1,None,LR,19.382401433691758,6.24633064516129
2016-12-01,1,None,BR,15.311322580645161,6.24633064516129
2016-12-01,36,None,LR,20.77179569892473,6.24633064516129
2016-12-01,12,None,BR,19.008470046082948,6.24633064516129
2016-12-01,12,None,LR,20.667813620071684,6.24633064516129
2016-12-01,2,None,LR,21.863616487455197,6.24633064516129
2016-12-01,2,None,BR,18.582769585253455,6.24633064516129
2016-12-01,41,None,LR,20.40962007168459,6.24633064516129
2016-12-01,29,None,BR,19.592354838709678,6.24633064516129
2016-12-01,29,None,LR,19.683455197132616,6.24633064516129
2016-12-01,6,None,LR,16.087816901408452,6.24633064516129
2016-12-01,10,None,BR,11.788520833333333,6.24633064516129
2016-12-01,10,None,LR,20.05217689530686,6.24633064516129
2016-12-01,40,None,BR,17.47430414746544,6.24633064516129
2016-12-01,40,None,LR,18.847971326164874,6.24633064516129
2016-12-01,20,None,BR,16.510975845410627,6.24633064516129
2016-12-01,20,None,LR,18.47573359073359,6.24633064516129
2016-12-01,8,Respiratory,LR,15.777216606498195,6.24633064516129
2016-12-01,38,None,BR,20.056658986175115,6.24633064516129
2016-12-01,38,None,LR,20.006462365591396,6.24633064516129
2016-12-01,26,None,BR,18.53231797235023,6.24633064516129
2016-12-01,35,None,BR,20.07636866359447,6.24633064516129
2016-12-01,35,None,LR,18.45367741935484,6.24633064516129
2016-12-01,15,None,BR,19.366695852534562,6.24633064516129
2016-12-01,15,None,LR,21.30614695340502,6.24633064516129
2016-12-01,19,None,BR,18.77267281105991,6.24633064516129
2016-12-01,21,None,BR,19.399516129032257,6.24633064516129
2016-12-01,21,None,LR,19.66722580645161,6.24633064516129
2016-12-01,24,None,LR,20.601559139784946,6.24633064516129
2016-12-01,39,None,LR,17.346663082437274,6.24633064516129
2016-12-01,39,None,BR,16.068589861751153,6.24633064516129
2016-12-01,33,None,BR,17.911935483870966,6.24633064516129
2016-12-01,33,None,LR,15.786446494464945,6.24633064516129
2016-12-01,22,Other,BR,20.2146267281106,6.24633064516129
2016-12-01,41,None,BR,15.587308755760368,6.24633064516129
2016-12-01,4,Other,BR,17.86585253456221,6.24633064516129
2016-12-01,16,None,LR,20.943548387096776,6.24633064516129
2016-12-01,16,None,BR,21.441668202764976,6.24633064516129
2016-12-01,31,None,BR,16.16030875576037,6.24633064516129
2016-12-01,19,None,LR,18.974397849462367,6.24633064516129
2016-12-01,22,Other,LR,22.483236559139783,6.24633064516129
2016-12-01,32,None,LR,18.59084946236559,6.24633064516129
2016-12-01,4,Other,LR,16.866118279569893,6.24633064516129
2016-12-01,27,None,LR,19.774229390681004,6.24633064516129
2016-12-01,26,None,LR,18.587698924731182,6.24633064516129
2016-12-01,36,None,BR,20.165308755760368,6.24633064516129
2016-12-01,25,None,BR,22.532126213592232,6.24633064516129
2016-12-01,5,None,LR,17.938268817204303,6.24633064516129
2016-12-01,28,None,BR,18.626327188940092,6.24633064516129
2016-12-01,24,None,BR,19.62410138248848,6.24633064516129
2016-12-01,25,None,LR,20.566935483870967,6.24633064516129
2016-12-01,9,None,BR,16.362336405529955,6.24633064516129
2016-12-01,8,Respiratory,BR,17.50648113207547,6.24633064516129
2016-12-01,32,None,BR,17.953175115207372,6.24633064516129
2016-12-01,31,None,LR,16.207784946236558,6.24633064516129
2016-12-01,28,None,LR,19.010516129032258,6.24633064516129
2016-12-01,6,None,BR,14.851155080213903,6.24633064516129
2016-12-01,5,None,BR,18.615543778801843,6.24633064516129
2016-12-01,9,None,LR,17.288784946236557,6.24633064516129
2017-01-01,30,Arthritic,LR,22.79645075757576,3.6066532258064514
2017-01-01,33,None,LR,14.54043165467626,3.6066532258064514
2017-01-01,37,None,LR,15.938189964157706,3.6066532258064514
2017-01-01,30,Arthritic,BR,15.66705069124424,3.6066532258064514
2017-01-01,20,None,LR,20.63503745318352,3.6066532258064514
2017-01-01,2,None,LR,22.277387096774195,3.6066532258064514
2017-01-01,6,Respiratory,BR,14.286468208092485,3.6066532258064514
2017-01-01,33,None,BR,16.791460093896713,3.6066532258064514
2017-01-01,40,None,BR,17.7914331797235,3.6066532258064514
2017-01-01,15,None,LR,20.9096917562724,3.6066532258064514
2017-01-01,35,None,BR,19.58989400921659,3.6066532258064514
2017-01-01,37,None,BR,18.104972350230415,3.6066532258064514
2017-01-01,2,None,BR,18.445815668202766,3.6066532258064514
2017-01-01,12,None,BR,18.838050691244238,3.6066532258064514
2017-01-01,6,Respiratory,LR,15.664617647058824,3.6066532258064514
2017-01-01,25,None,BR,22.355402116402118,3.6066532258064514
2017-01-01,12,None,LR,20.834870967741935,3.6066532258064514
2017-01-01,15,None,BR,19.644327188940093,3.6066532258064514
2017-01-01,26,None,LR,18.096655913978495,3.6066532258064514
2017-01-01,39,Other,LR,16.13478853046595,3.6066532258064514
2017-01-01,9,None,LR,16.461415770609317,3.6066532258064514
2017-01-01,4,Other,BR,18.496059907834102,3.6066532258064514
2017-01-01,11,None,LR,12.805888392857144,3.6066532258064514
2017-01-01,4,Other,LR,16.84693189964158,3.6066532258064514
2017-01-01,21,None,LR,19.744082437275985,3.6066532258064514
2017-01-01,35,None,LR,17.97994265232975,3.6066532258064514
2017-01-01,16,None,BR,20.905511520737328,3.6066532258064514
2017-01-01,36,None,LR,20.82673476702509,3.6066532258064514
2017-01-01,36,None,BR,20.97479262672811,3.6066532258064514
2017-01-01,27,None,LR,20.317870967741936,3.6066532258064514
2017-01-01,1,None,LR,18.264956989247313,3.6066532258064514
