bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID13,bedroom_ID15,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID28,bedroom_ID29,bedroom_ID31,bedroom_ID32,bedroom_ID34,bedroom_ID36,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID13,living_room_ID15,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID28,living_room_ID29,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID43
16.497,18.714,18.609,17.308,19.204,13.164,17.329,13.667,10.071,14.888,19.594,20.558,19.309,15.673,19.515,21.004,19.967,25.563,17.056,21.493,14.752,16.96,17.877,23.07,15.934,15.379,16.92,16.515,17.933,22.126,19.497,16.916,22.298,13.851,16.774,18.134,18.343,12.987,18.621,22.206,24.336,15.092,21.064,23.41,21.469,21.469,20.338,17.865,21.806,16.528,18.969,12.171,20.153,19.717,20.869,17.928,20.556,16.656,16.969
16.497,18.714,19.485,16.933,19.955,14.167,17.391,13.605,10.071,14.638,19.406,20.558,19.121,14.859,19.39,20.942,19.341,25.875,16.931,21.806,14.689,16.522,18.253,22.945,17.249,15.128,17.045,16.515,20.998,23.252,21.061,16.478,22.736,15.48,17.589,18.072,17.905,12.862,19.059,22.081,26.211,15.092,20.751,23.41,22.094,22.094,20.651,19.804,22.431,17.467,18.906,11.983,20.466,19.717,20.306,17.74,20.869,16.969,17.78
16.247,18.464,19.485,19.874,20.08,14.481,18.33,13.542,10.008,14.638,19.343,20.496,19.184,13.982,19.327,20.629,18.841,25.937,17.119,22.431,15.253,17.9,18.253,22.945,20.316,14.501,17.609,16.64,20.06,21.501,20.999,16.979,23.236,16.169,18.027,18.072,17.717,12.924,18.371,21.893,27.211,15.092,20.313,23.535,22.157,22.157,21.026,20.117,22.806,19.093,19.094,11.858,21.154,19.779,20.806,18.867,20.306,17.78,17.843
16.122,18.464,20.049,22.751,20.205,14.105,18.518,13.48,9.883,14.45,19.469,20.496,19.372,13.606,19.202,19.815,18.403,24.375,16.806,22.806,15.942,19.59,18.253,22.695,20.566,13.749,17.922,16.828,19.997,23.064,21.311,19.921,24.736,16.608,17.526,18.134,18.281,12.862,18.058,21.768,27.898,15.092,19.876,23.41,22.157,22.157,20.589,20.43,22.744,19.969,19.282,11.732,21.091,19.717,20.556,19.555,20.806,17.843,17.905
15.996,18.652,19.172,21.25,20.393,13.603,18.518,13.48,9.82,16.329,19.469,20.496,19.559,13.48,19.327,19.252,18.028,22.687,16.618,22.744,16.005,20.341,17.752,22.632,20.128,13.373,17.671,17.016,19.997,22.689,20.561,22.235,23.736,15.23,16.837,16.631,17.843,13.801,17.87,21.518,23.335,15.092,19.063,23.097,21.469,21.469,20.026,19.304,21.368,18.906,18.468,11.67,20.403,19.717,19.305,19.743,20.556,17.905,17.78
15.934,18.401,18.734,19.248,21.081,13.29,18.142,13.417,9.945,15.577,19.594,20.496,19.434,13.418,19.265,18.814,19.029,21.936,16.43,21.368,17.132,19.026,17.627,22.632,18.376,15.128,17.358,17.141,20.56,20.687,19.873,20.359,23.611,14.666,16.273,15.817,17.655,13.613,17.807,21.017,21.897,15.092,18.688,22.847,20.593,20.593,19.588,18.616,19.992,17.967,17.843,11.544,19.59,19.717,18.804,18.929,19.305,17.78,17.468
15.934,18.025,18.358,18.31,21.019,12.913,17.642,14.419,9.945,15.139,19.594,20.183,19.247,13.418,19.202,18.439,18.341,21.499,16.18,19.992,18.072,18.025,17.815,22.007,17.312,12.306,17.045,17.454,18.871,19.874,19.31,18.356,21.36,14.227,15.835,15.316,17.592,13.05,17.87,19.703,20.583,15.092,18.312,22.722,20.155,20.155,19.275,18.053,18.991,17.342,17.279,11.482,18.839,19.654,18.742,18.178,18.804,17.468,17.156
15.808,17.837,17.983,17.496,21.019,12.6,17.204,14.106,9.82,14.951,19.343,19.808,18.934,13.418,19.202,19.69,17.965,20.873,16.055,18.991,16.944,17.399,18.253,21.569,16.623,11.365,16.982,17.203,18.12,19.311,18.934,17.292,20.046,13.851,15.584,14.94,17.592,12.799,17.933,18.952,19.769,15.092,18.0,22.597,19.717,19.717,18.963,17.552,18.303,16.904,16.716,11.419,18.275,19.529,18.804,17.552,18.742,17.156,16.844
15.621,17.587,17.607,16.87,20.643,12.286,16.765,13.918,9.82,14.825,19.469,19.933,18.683,13.292,19.14,20.191,17.59,20.31,15.804,18.303,16.255,16.835,18.691,21.319,16.122,10.863,16.857,17.016,17.62,18.81,18.621,16.54,19.358,13.475,15.333,14.689,17.843,12.611,18.058,19.077,19.081,15.092,17.749,22.472,19.341,19.341,18.712,17.052,17.74,16.466,16.34,11.356,17.712,19.341,18.992,16.989,18.804,16.844,16.469
15.433,17.399,17.544,16.369,20.581,12.663,16.39,13.793,9.82,14.638,19.907,19.995,18.37,13.167,19.014,19.753,18.215,23.25,15.867,17.74,15.754,16.334,18.753,21.131,15.621,10.424,16.732,16.828,17.119,18.435,18.371,15.977,18.795,13.224,15.27,14.376,18.03,12.486,18.245,20.329,18.455,15.092,17.562,22.409,21.469,21.469,19.025,16.676,19.241,16.341,16.027,11.356,17.211,19.216,19.367,16.551,18.992,16.469,16.282
