ID1,ID11,ID12,ID14,ID15,ID16,ID19,ID2,ID21,ID22,ID23,ID24,ID25,ID26,ID28,ID29,ID31,ID32,ID33,ID34,ID35,ID36,ID38,ID39,ID4,ID40,ID41,ID43,ID5,ID9,ID1,ID11,ID12,ID14,ID15,ID16,ID19,ID2,ID21,ID22,ID23,ID24,ID25,ID26,ID27,ID28,ID29,ID31,ID32,ID33,ID34,ID35,ID36,ID38,ID39,ID4,ID40,ID41,ID43,ID5,ID9
14.054,14.011,19.935,19.983,19.557000000000002,22.994,17.055999999999997,18.56,19.644000000000002,20.105999999999998,19.878,18.904,21.624000000000002,18.625,20.435,20.656999999999996,16.005,19.026,18.34,16.689,20.678,21.444000000000003,18.188,14.878,20.811999999999998,19.361,14.809000000000001,17.078,18.39,16.569000000000003,20.811,12.047,21.58,20.517,20.829,21.663,15.95,20.655,19.563,22.206999999999997,20.217,19.795,18.212,20.437,20.436,20.868000000000002,21.281,18.389,19.468,15.902000000000001,11.982999999999999,21.404,20.968000000000004,19.743,15.048,20.171,19.374000000000002,21.813000000000002,18.155,17.919,15.770999999999999
14.18,14.011,19.872,20.171,19.682000000000002,22.243000000000002,16.868,18.748,19.394000000000002,20.105999999999998,19.377,20.405,19.122,18.562,19.81,20.594,16.506,18.338,17.464000000000002,16.625999999999998,20.678,21.819000000000003,21.504,14.752,20.312,18.736,14.558,17.266,18.139,16.255,18.746,12.047,21.455,20.579,20.955,20.287,15.699000000000002,19.840999999999998,19.313,22.081999999999997,19.717,20.233,17.461,19.874000000000002,19.81,20.117,20.092,18.201,18.718,15.401,11.982999999999999,21.029,20.655,20.930999999999997,14.923,19.42,19.061,21.625,18.03,17.23,15.332
14.117,14.011,19.184,20.108,19.745,21.68,16.68,18.81,19.144000000000002,20.230999999999998,18.939,20.154,18.12,18.312,19.685,22.284000000000002,16.819000000000003,17.837,16.838,16.689,20.365,21.506999999999998,19.565,14.94,20.375,18.61,14.620999999999999,17.266,17.951,16.005,17.933,11.984000000000002,20.266,20.642,21.08,19.598,15.511,19.215,19.125,22.081999999999997,19.404,19.795,17.024,19.436,19.309,19.554000000000002,19.154,17.012,18.217,14.901,11.982999999999999,20.215,20.468,19.93,14.86,18.857,18.81,20.498,17.843,16.917,15.019
14.117,13.886,18.684,20.108,19.557000000000002,21.243000000000002,16.555,18.31,18.893,20.169,18.752,19.779,17.557000000000002,18.187,19.247,20.469,16.631,17.399,16.4,16.875999999999998,20.177,21.131,18.750999999999998,15.254000000000001,19.811,18.36,14.370999999999999,17.329,17.764,15.817,17.432000000000002,11.984000000000002,19.453,20.767,21.142,19.16,15.323,18.777,19.0,22.144000000000002,19.090999999999998,19.357,16.711,19.123,18.933,19.054000000000002,18.528,16.323,17.842,14.525,12.046,19.59,20.217,19.18,14.86,18.419,18.685,19.56,17.593,16.729,14.832
13.929,13.886,18.308,20.233,19.808,20.805,16.367,17.997,18.706,20.169,18.564,19.467,17.119,17.999000000000002,18.996,19.217,16.192999999999998,17.023,15.960999999999999,16.939,19.989,20.944000000000003,21.88,15.63,19.624000000000002,18.485,14.183,17.266,17.637999999999998,15.629000000000001,17.055999999999997,11.984000000000002,18.89,20.892,21.205,18.722,15.135,18.401,18.813,22.081999999999997,18.840999999999998,18.982,16.398,18.873,18.62,18.616,18.089000000000002,15.822000000000001,17.529,14.274000000000001,12.046,19.026,20.03,20.180999999999997,14.923,18.043,18.81,18.933,17.343,16.542,14.644
13.866,13.76,17.933,20.359,19.87,20.491999999999997,16.242,17.809,19.394000000000002,20.105999999999998,20.504,19.967,18.558,17.999000000000002,18.684,18.528,15.88,17.962,15.397,17.127,20.99,20.756,19.94,16.006,19.499000000000002,18.61,15.059000000000001,17.391,17.512999999999998,15.504000000000001,16.743,11.922,18.451,20.892,21.267,18.41,14.947000000000001,20.905,19.313,22.019000000000002,20.843000000000004,20.859,16.711,18.623,19.434,18.24,17.714000000000002,16.698,18.03,14.085999999999999,12.046,18.588,20.718000000000004,19.492,14.985,17.793,18.936,19.497,17.406,16.416,14.456
13.866,14.763,19.309,20.546,19.808,20.991999999999997,16.117,17.559,19.581,20.105999999999998,20.316,20.154,21.061,17.874000000000002,18.371,18.027,15.817,19.59,16.525,17.627,20.803,20.631,18.939,16.194000000000003,19.123,18.61,16.436,17.454,17.701,15.378,19.059,12.423,20.829,20.955,21.08,19.285999999999998,14.822000000000001,21.343000000000004,19.625999999999998,21.894000000000002,20.781,19.858,17.774,18.372,20.123,18.616,19.467,16.573,19.844,14.525,12.107999999999999,18.15,20.906,18.929000000000002,15.048,17.48,18.998,20.498,17.78,16.792,14.331
13.866,15.200999999999999,19.497,20.609,19.808,21.68,15.992,17.371,19.832,20.044,19.503,20.029,21.248,17.812,18.746,20.469,15.692,18.901,17.965,17.627,20.427,21.381,21.755,16.257,19.373,18.36,16.374000000000002,17.329,17.764,16.192999999999998,18.12,12.924000000000001,21.768,20.704,20.892,21.413,14.697000000000001,21.906999999999996,19.875999999999998,21.894000000000002,19.717,19.67,17.899,18.185,19.747,20.43,19.467,16.072,19.343,15.276,12.171,18.713,20.906,19.993,15.110999999999999,18.480999999999998,18.873,19.56,17.843,18.105999999999998,16.647000000000002
15.057,16.266,19.872,20.671,19.745,21.930999999999997,15.929,18.059,19.832,20.044,18.939,19.904,18.934,18.312,19.497,20.594,15.692,17.774,17.589000000000002,17.377,19.989,21.444000000000003,19.69,16.131,19.937,18.297,15.56,17.141,17.889,16.381,19.622,13.613,21.83,20.517,20.767,21.037,14.571,22.344,19.750999999999998,22.081999999999997,19.404,21.796999999999997,17.086,18.811,20.811,19.867,19.279,15.696,18.405,15.464,12.171,19.026,20.968000000000004,19.492,15.173,18.857,18.748,19.873,17.718,17.23,17.273
14.744000000000002,14.763,19.935,20.233,19.682000000000002,22.368000000000002,15.804,18.247,19.707,20.044,19.19,19.842,20.498,18.687,18.684,20.531999999999996,15.565999999999999,16.898,17.902,17.252,20.74,21.506999999999998,21.816999999999997,15.755,21.125,19.299,14.870999999999999,16.953,17.325,16.569000000000003,19.56,12.987,22.018,20.391,20.704,20.975,14.383,22.47,19.625999999999998,22.081999999999997,19.592,20.359,17.774,19.749000000000002,20.811,19.179000000000002,20.092,15.571,17.717,16.027,12.171,18.651,20.843000000000004,19.555,15.173,19.795,20.062,20.311,17.406,16.416,17.586
