bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID7,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID12,bedroom_ID13,bedroom_ID14,bedroom_ID15,bedroom_ID16,bedroom_ID17,bedroom_ID18,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID22,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID26,bedroom_ID28,bedroom_ID29,bedroom_ID30,bedroom_ID31,bedroom_ID32,bedroom_ID33,bedroom_ID34,bedroom_ID35,bedroom_ID36,bedroom_ID37,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID41,bedroom_ID42,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID7,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID12,living_room_ID13,living_room_ID14,living_room_ID15,living_room_ID16,living_room_ID17,living_room_ID18,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID26,living_room_ID27,living_room_ID28,living_room_ID29,living_room_ID30,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID37,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID41,living_room_ID42,living_room_ID43
14.054,18.56,11.798,20.812,18.39,16.232,19.754,18.749,16.569,8.009,14.011,19.935,21.158,19.983,19.557,22.994,23.678,21.02,17.056,11.798,19.644,20.106,19.878,18.904,21.624,18.625,20.435,20.657,14.83,16.005,19.026,18.34,16.689,20.678,21.444,20.349,18.188,14.878,19.361,14.809,16.243,17.078,20.811,20.655,11.716,20.171,17.919,42.646,19.406,17.892,15.771,18.626,12.047,21.58,18.934,20.517,20.829,21.663,23.678,18.56,15.95,11.716,19.563,22.207,20.217,19.795,18.212,20.437,20.436,20.868,21.281,23.189,18.389,19.468,15.902,11.983,21.404,20.968,18.59,19.743,15.048,19.374,21.813,20.623,18.155
14.18,18.748,11.861,20.312,18.139,15.417,19.691,18.374,16.255,8.134,14.011,19.872,20.845,20.171,19.682,22.243,23.678,20.832,16.868,11.861,19.394,20.106,19.377,20.405,19.122,18.562,19.81,20.594,14.955,16.506,18.338,17.464,16.626,20.678,21.819,19.536,21.504,14.752,18.736,14.558,16.181,17.266,18.746,19.841,11.716,19.42,17.23,21.932,19.469,17.141,15.332,18.188,12.047,21.455,18.871,20.579,20.955,20.287,23.678,18.247,15.699,11.716,19.313,22.082,19.717,20.233,17.461,19.874,19.81,20.117,20.092,23.251,18.201,18.718,15.401,11.983,21.029,20.655,18.214,20.931,14.923,19.061,21.625,20.56,18.03
14.117,18.81,11.861,20.375,17.951,14.979,19.691,18.061,16.005,8.072,14.011,19.184,20.47,20.108,19.745,21.68,23.803,20.395,16.68,11.861,19.144,20.231,18.939,20.154,18.12,18.312,19.685,22.284,14.767,16.819,17.837,16.838,16.689,20.365,21.507,18.91,19.565,14.94,18.61,14.621,16.181,17.266,17.933,19.215,11.778,18.857,16.917,18.49,19.594,16.703,15.019,18.001,11.984,20.266,18.746,20.642,21.08,19.598,23.803,17.997,15.511,11.778,19.125,22.082,19.404,19.795,17.024,19.436,19.309,19.554,19.154,22.626,17.012,18.217,14.901,11.983,20.215,20.468,17.776,19.93,14.86,18.81,20.498,20.873,17.843
14.117,18.31,11.924,19.811,17.764,14.603,19.817,17.936,15.817,8.197,13.886,18.684,20.282,20.108,19.557,21.243,24.178,20.082,16.555,11.924,18.893,20.169,18.752,19.779,17.557,18.187,19.247,20.469,14.767,16.631,17.399,16.4,16.876,20.177,21.131,18.472,18.751,15.254,18.36,14.371,16.181,17.329,17.432,18.777,11.778,18.419,16.729,17.363,19.907,16.39,14.832,18.063,11.984,19.453,18.684,20.767,21.142,19.16,24.178,17.746,15.323,11.778,19.0,22.144,19.091,19.357,16.711,19.123,18.933,19.054,18.528,21.938,16.323,17.842,14.525,12.046,19.59,20.217,17.338,19.18,14.86,18.685,19.56,20.936,17.593
13.929,17.997,11.924,19.624,17.638,14.352,20.004,17.686,15.629,8.197,13.886,18.308,20.032,20.233,19.808,20.805,24.24,19.769,16.367,11.924,18.706,20.169,18.564,19.467,17.119,17.999,18.996,19.217,14.704,16.193,17.023,15.961,16.939,19.989,20.944,18.034,21.88,15.63,18.485,14.183,16.118,17.266,17.056,18.401,11.841,18.043,16.542,16.736,20.282,16.14,14.644,18.689,11.984,18.89,18.621,20.892,21.205,18.722,24.24,17.559,15.135,11.841,18.813,22.082,18.841,18.982,16.398,18.873,18.62,18.616,18.089,21.438,15.822,17.529,14.274,12.046,19.026,20.03,17.025,20.181,14.923,18.81,18.933,20.936,17.343
13.866,17.809,11.986,19.499,17.513,14.102,20.192,17.56,15.504,8.26,13.76,17.933,19.844,20.359,19.87,20.492,24.303,21.208,16.242,11.986,19.394,20.106,20.504,19.967,18.558,17.999,18.684,18.528,14.642,15.88,17.962,15.397,17.127,20.99,20.756,17.534,19.94,16.006,18.61,15.059,16.118,17.391,16.743,20.905,11.841,17.793,16.416,16.36,20.595,16.327,14.456,19.252,11.922,18.451,18.809,20.892,21.267,18.41,24.303,17.746,14.947,11.841,19.313,22.019,20.843,20.859,16.711,18.623,19.434,18.24,17.714,21.062,16.698,18.03,14.086,12.046,18.588,20.718,16.649,19.492,14.985,18.936,19.497,20.811,17.406
13.866,17.559,11.986,19.123,17.701,15.042,20.504,18.311,15.378,8.385,14.763,19.309,19.969,20.546,19.808,20.992,24.303,22.834,16.117,11.986,19.581,20.106,20.316,20.154,21.061,17.874,18.371,18.027,14.642,15.817,19.59,16.525,17.627,20.803,20.631,17.095,18.939,16.194,18.61,16.436,16.118,17.454,19.059,21.343,11.904,17.48,16.792,41.525,21.095,17.579,14.331,19.252,12.423,20.829,19.184,20.955,21.08,19.286,24.303,19.061,14.822,11.904,19.626,21.894,20.781,19.858,17.774,18.372,20.123,18.616,19.467,21.062,16.573,19.844,14.525,12.108,18.15,20.906,16.399,18.929,15.048,18.998,20.498,20.686,17.78
13.866,17.371,12.111,19.373,17.764,14.916,20.692,18.249,16.193,8.448,15.201,19.497,20.032,20.609,19.808,21.68,24.115,21.52,15.992,12.111,19.832,20.044,19.503,20.029,21.248,17.812,18.746,20.469,15.017,15.692,18.901,17.965,17.627,20.427,21.381,17.346,21.755,16.257,18.36,16.374,16.118,17.329,18.12,21.907,11.967,18.481,18.106,21.181,21.221,17.642,16.647,19.377,12.924,21.768,18.746,20.704,20.892,21.413,24.115,19.061,14.697,11.967,19.876,21.894,19.717,19.67,17.899,18.185,19.747,20.43,19.467,22.313,16.072,19.343,15.276,12.171,18.713,20.906,16.837,19.993,15.111,18.873,19.56,20.56,17.843
15.057,18.059,12.111,19.937,17.889,14.478,20.692,17.936,16.381,8.51,16.266,19.872,19.469,20.671,19.745,21.931,23.865,20.457,15.929,12.111,19.832,20.044,18.939,19.904,18.934,18.312,19.497,20.594,15.268,15.692,17.774,17.589,17.377,19.989,21.444,17.846,19.69,16.131,18.297,15.56,16.118,17.141,19.622,22.344,12.029,18.857,17.23,17.926,20.845,17.642,17.273,19.19,13.613,21.83,19.122,20.517,20.767,21.037,23.865,18.873,14.571,12.029,19.751,22.082,19.404,21.797,17.086,18.811,20.811,19.867,19.279,24.627,15.696,18.405,15.464,12.171,19.026,20.968,17.025,19.492,15.173,18.748,19.873,20.435,17.718
14.744,18.247,12.174,21.125,17.325,14.227,20.567,17.936,16.569,8.51,14.763,19.935,19.343,20.233,19.682,22.368,23.99,19.769,15.804,12.174,19.707,20.044,19.19,19.842,20.498,18.687,18.684,20.532,15.769,15.566,16.898,17.902,17.252,20.74,21.507,17.596,21.817,15.755,19.299,14.871,16.056,16.953,19.56,22.47,12.029,19.795,16.416,16.862,20.47,17.704,17.586,19.252,12.987,22.018,19.122,20.391,20.704,20.975,23.99,18.748,14.383,12.029,19.626,22.082,19.592,20.359,17.774,19.749,20.811,19.179,20.092,24.564,15.571,17.717,16.027,12.171,18.651,20.843,16.712,19.555,15.173,20.062,20.311,20.31,17.406
