bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID7,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID12,bedroom_ID13,bedroom_ID14,bedroom_ID15,bedroom_ID16,bedroom_ID17,bedroom_ID18,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID22,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID26,bedroom_ID28,bedroom_ID29,bedroom_ID30,bedroom_ID31,bedroom_ID32,bedroom_ID33,bedroom_ID34,bedroom_ID35,bedroom_ID36,bedroom_ID37,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID41,bedroom_ID42,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID7,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID12,living_room_ID13,living_room_ID14,living_room_ID15,living_room_ID16,living_room_ID17,living_room_ID18,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID26,living_room_ID27,living_room_ID28,living_room_ID29,living_room_ID30,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID37,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID41,living_room_ID42,living_room_ID43
18.438,17.496,17.12,16.244,16.198,13.788,18.691,17.435,15.566,7.194,14.45,19.81,16.276,20.546,19.057,20.805,22.49,20.27,18.12,17.12,20.457,19.793,18.001,22.03,24.5,18.812,14.928,18.841,17.084,13.874,13.515,13.455,16.126,19.927,20.506,18.347,20.816,16.194,16.669,16.249,15.367,14.325,16.493,17.023,19.611,13.91,14.851,14.982,18.091,16.39,18.087,19.628,11.17,21.518,15.617,22.018,21.893,20.599,22.49,15.931,16.639,19.611,19.688,22.27,17.839,23.736,21.902,17.747,20.749,15.612,20.217,24.627,17.012,14.213,10.767,11.732,16.772,19.967,12.953,20.931,15.486,17.246,23.501,19.434,13.847
17.311,17.746,16.306,15.868,15.884,13.287,18.566,16.559,15.566,7.069,13.008,18.934,16.213,20.484,18.869,21.118,22.365,22.646,17.682,16.306,20.457,19.668,18.439,20.78,25.5,18.75,14.803,20.532,16.646,14.0,15.144,13.455,15.938,19.927,20.443,15.718,18.877,15.63,18.235,15.31,15.304,14.075,15.93,16.584,18.296,13.534,14.475,15.483,17.778,15.013,17.461,18.689,11.044,21.643,16.243,22.206,22.081,20.85,22.365,17.433,15.636,18.296,20.001,21.894,18.089,20.859,21.527,17.809,20.936,16.176,19.905,24.252,15.822,16.09,10.516,11.732,17.336,20.217,13.015,20.181,15.361,18.685,22.063,19.372,13.535
16.81,17.559,16.932,15.806,15.947,13.036,18.44,20.751,15.378,6.943,12.695,18.996,16.526,20.484,18.806,21.368,23.427,22.333,17.557,16.932,20.457,19.606,19.377,20.217,25.688,19.563,15.178,20.657,16.583,14.376,15.958,14.834,15.75,20.365,20.756,14.153,20.754,15.379,18.235,16.562,15.617,14.325,19.372,20.092,19.235,13.596,15.916,15.358,17.278,17.204,17.461,18.376,10.919,21.705,16.18,22.143,22.143,21.162,23.427,18.685,17.641,19.235,19.938,22.457,20.217,20.797,21.964,18.498,21.187,19.241,19.905,25.564,15.446,17.654,12.082,11.732,18.087,20.28,12.639,20.431,15.424,18.623,20.749,19.309,14.409
16.497,16.87,17.245,15.43,16.949,14.102,18.253,21.188,15.253,6.818,12.758,18.934,17.465,20.609,18.744,21.18,23.49,22.521,17.932,17.245,20.395,19.481,19.815,19.654,25.25,19.0,17.307,20.219,16.333,14.501,16.772,15.272,15.562,20.24,20.693,15.656,19.315,15.003,18.047,17.0,15.242,14.513,18.934,22.219,20.987,14.035,18.482,15.546,16.964,18.33,17.211,18.376,10.794,21.643,15.804,22.081,22.143,21.288,23.49,19.061,19.582,20.987,20.001,22.332,21.031,21.923,21.902,17.997,21.938,20.055,20.53,26.189,16.01,18.405,13.022,11.67,18.588,20.843,13.391,20.056,17.302,18.372,20.373,19.059,15.096
16.247,16.369,16.869,16.995,17.513,15.104,18.065,21.188,15.128,6.755,15.327,18.996,18.091,20.546,19.057,21.618,25.678,21.708,18.245,16.869,20.52,19.418,20.191,19.154,25.25,19.751,18.058,20.093,16.395,14.689,17.649,15.711,15.437,20.114,20.631,16.407,20.441,14.564,18.109,15.372,15.054,14.576,18.996,21.969,22.114,14.661,19.483,15.107,16.777,18.893,17.211,18.001,11.859,21.58,15.617,21.893,21.893,21.413,25.678,17.684,21.084,22.114,20.063,22.019,21.093,23.048,22.027,19.186,22.563,19.929,20.718,26.377,17.951,19.031,13.335,11.607,18.901,20.53,14.081,20.181,17.552,18.435,20.999,18.809,15.408
16.059,17.183,18.246,17.559,17.513,15.417,17.877,20.125,15.316,6.818,16.391,19.059,18.217,20.359,19.557,21.618,24.99,20.958,18.433,18.246,20.332,19.355,20.316,19.467,25.188,20.563,18.371,20.219,16.145,14.877,18.213,16.274,15.375,19.739,20.631,17.095,19.878,14.313,19.048,14.433,14.866,14.826,19.997,21.343,21.738,15.476,18.857,14.606,16.651,18.267,15.896,17.625,12.423,21.643,15.554,21.955,21.955,22.538,24.99,17.058,21.396,21.738,19.751,22.27,20.843,23.298,21.839,20.062,23.064,19.429,21.031,24.252,18.952,19.343,13.46,11.607,20.153,20.468,14.519,20.431,18.491,18.185,21.062,18.558,15.595
15.871,17.496,17.37,16.682,16.887,15.355,17.69,18.874,14.689,6.692,15.139,19.059,17.653,20.171,19.745,21.243,23.49,20.207,18.433,17.37,19.769,19.355,19.065,20.217,23.187,20.063,17.307,20.469,15.957,15.817,16.271,15.272,15.25,19.301,20.568,17.095,18.564,14.69,17.483,13.87,14.741,14.951,20.936,18.84,20.049,14.912,16.729,15.546,16.464,17.141,14.706,17.437,11.922,21.643,15.491,22.081,22.081,20.224,23.49,16.557,21.271,20.049,19.313,21.706,19.404,22.235,21.151,19.249,20.811,18.678,20.906,22.751,17.575,17.717,12.646,11.544,19.84,19.842,14.707,20.181,17.177,17.559,19.81,18.308,15.221
15.934,17.621,16.995,16.181,16.511,14.54,17.627,18.061,14.313,6.755,14.324,18.871,17.34,20.546,19.87,20.117,21.864,19.707,18.245,16.995,19.456,19.23,18.376,19.654,22.499,18.938,16.743,20.406,15.393,15.942,15.207,14.395,15.375,18.863,20.568,16.219,21.129,13.937,17.045,13.431,14.616,14.763,18.371,17.775,18.797,14.473,15.79,15.421,16.401,16.39,14.143,17.062,11.42,21.393,15.491,22.143,22.206,18.41,21.864,16.119,19.582,18.797,19.063,21.519,18.653,20.859,20.213,18.185,19.497,17.427,19.216,21.688,16.072,16.716,11.957,11.544,19.089,19.279,14.143,20.556,16.488,17.12,18.495,18.183,14.784
15.996,17.371,16.744,16.056,16.448,13.726,17.627,17.498,14.0,6.755,14.011,17.87,17.152,20.484,19.808,19.366,21.677,19.081,17.995,16.744,19.081,19.168,17.813,20.592,22.187,18.25,16.305,19.405,14.955,15.692,14.517,13.769,15.625,18.488,20.443,15.468,19.315,14.501,16.669,13.369,14.678,14.576,17.432,17.148,17.983,13.847,15.289,14.982,16.338,15.827,13.767,17.249,11.295,19.515,15.491,22.206,22.268,17.533,21.677,15.806,18.705,17.983,18.813,21.393,18.215,20.421,19.588,17.434,18.745,16.676,18.152,20.937,15.195,16.09,11.644,11.544,18.087,18.903,13.705,20.056,16.05,16.745,18.119,18.246,14.472
15.808,16.87,16.494,15.367,16.198,13.475,17.752,16.997,13.749,6.692,13.823,17.056,17.027,20.484,19.682,18.74,22.177,18.518,17.682,16.494,18.706,19.105,17.375,20.154,21.874,17.562,15.992,17.714,14.579,15.378,13.954,13.33,15.938,18.175,20.193,14.842,21.379,14.94,16.356,12.993,14.678,14.451,16.806,16.71,17.419,13.471,14.976,14.731,16.714,15.388,13.516,17.562,11.17,18.326,15.429,22.268,22.331,16.97,22.177,15.555,17.954,17.419,18.625,21.331,17.776,19.983,19.15,16.87,18.119,16.113,17.401,20.374,14.569,15.59,11.205,11.544,17.273,18.59,13.329,20.118,15.737,16.432,17.368,18.371,14.159
