bedroom_ID1,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID7,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID12,bedroom_ID13,bedroom_ID14,bedroom_ID15,bedroom_ID16,bedroom_ID17,bedroom_ID18,bedroom_ID20,bedroom_ID21,bedroom_ID22,bedroom_ID25,bedroom_ID29,bedroom_ID30,bedroom_ID32,bedroom_ID33,bedroom_ID34,bedroom_ID36,bedroom_ID37,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID41,bedroom_ID42,living_room_ID1,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID7,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID12,living_room_ID13,living_room_ID14,living_room_ID15,living_room_ID16,living_room_ID17,living_room_ID18,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID25,living_room_ID27,living_room_ID29,living_room_ID30,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID36,living_room_ID37,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID41,living_room_ID42
15.92575,19.497,19.311,15.508,21.63,15.495,16.569,9.764,15.515,19.622,17.966,21.485,19.885749999999998,22.681,23.928,17.892,19.497,19.581,20.169,25.875,20.219,14.579,15.77,20.03,17.94,21.006,15.781,19.977899999999998,16.633,16.857,13.682,17.745,18.409625,21.175,17.98,15.039,22.096,22.096,14.637,17.836,18.939,14.052,21.267,18.245,21.955,22.456,21.037,23.928,17.496,21.175,19.876,17.197,21.464,21.375,22.094,23.564,16.779,16.528,16.779,13.299,20.843,16.148,20.3873,16.613,17.872,18.996,21.249
15.92575,19.622,19.248,15.446,21.505,15.37,16.819,9.764,15.327,19.685,17.966,21.422,19.885749999999998,22.681,23.74,17.705,19.622,19.581,20.044,25.75,21.783,14.454,16.527545454545457,20.343,17.877,21.131,15.405,19.977899999999998,17.071,16.92,13.682,17.683,18.409625,21.863,17.73,14.976,21.971,21.971,14.449,17.836,18.439,13.927,21.142,18.12,22.393,22.206,20.912,23.74,17.433,21.863,20.001,17.26,21.339,20.936,21.782,23.377,16.528,17.06863636363636,16.528,13.236,20.906,15.898,20.3873,16.676,17.934,18.307,21.061
15.92575,19.059,18.873,15.884,21.38,15.558,16.819,9.639,15.201,19.81,18.029,21.61,19.885749999999998,23.119,23.678,17.517,19.059,19.769,19.856,25.813,21.595,14.391,16.527545454545457,20.406,18.128,21.507,15.092,19.977899999999998,17.009,16.982,15.748,17.683,18.409625,21.363,17.417,16.166,21.846,21.846,14.011,17.836,18.501,13.864,21.205,17.995,22.206,22.081,21.35,23.678,17.433,21.363,20.063,17.197,21.464,21.625,21.531,22.814,17.206083333333332,17.06863636363636,16.278,13.236,21.031,15.71,20.3873,16.613,17.997,19.873,21.061
15.92575,19.56,18.497,16.511,21.255,20.063,16.819,9.701,15.201,19.872,17.966,21.797,19.885749999999998,22.994,23.803,17.454,19.56,19.894,19.793,25.875,21.47,14.015,16.527545454545457,20.531,17.815,21.444,16.783,19.977899999999998,16.758,17.671,17.626,17.62,18.409625,22.114,17.542,17.856,21.533,21.533,16.703,17.836,18.188,13.801,21.267,17.995,22.018,22.018,22.288,23.803,17.183,22.114,20.188,17.26,21.777,22.438,21.907,25.189,17.206083333333332,17.06863636363636,16.34,13.174,21.344,16.273,20.3873,17.615,19.186,21.375,20.873
15.92575,18.872,19.811,16.574,21.13,20.563,16.694,9.639,15.139,19.935,18.592,21.61,19.885749999999998,21.993,23.177,17.141,18.872,19.894,19.731,25.688,21.595,13.952,16.527545454545457,20.406,17.627,21.069,17.972,19.977899999999998,16.194,18.297,16.687,17.432,18.409625,21.175,18.419,17.731,21.095,21.095,18.142,17.711,18.251,13.676,21.267,17.87,21.893,22.081,20.912,23.177,16.682,21.175,20.251,17.323,21.902,21.813,22.657,25.314,17.206083333333332,17.06863636363636,16.591,13.174,21.281,16.712,20.3873,19.18,19.499,21.124,20.686
15.92575,19.685,20.5,16.761,21.005,18.749,16.944,9.701,17.08,19.81,18.655,21.36,19.885749999999998,22.243,24.553,16.766,19.685,19.894,19.606,25.688,21.345,13.952,16.527545454545457,20.343,17.752,20.819,18.597,19.977899999999998,17.51,18.047,15.435,17.432,18.409625,21.175,19.67,17.731,20.783,20.783,16.765,17.023,18.439,14.741,21.142,17.682,21.893,21.955,22.038,24.553,16.369,21.175,19.938,17.323,22.027,21.75,22.72,24.314,17.206083333333332,17.06863636363636,17.092,13.111,21.344,17.213,20.3873,18.053,19.248,20.06,20.623
15.92575,19.059,20.062,16.26,20.88,17.873,15.88,9.827,16.016,19.81,18.78,21.234,19.885749999999998,21.868,24.49,16.39,19.059,19.394,19.731,24.125,21.345,14.078,16.527545454545457,19.279,17.69,20.881,18.973,19.977899999999998,15.755,17.734,14.558,17.245,18.409625,20.362,19.795,16.479,20.532,20.532,16.077,15.896,17.375,14.177,21.017,17.62,22.018,21.893,20.662,24.49,16.119,20.362,19.438,17.197,21.339,21.312,22.657,24.252,17.206083333333332,17.06863636363636,16.278,13.048,21.093,17.463,20.3873,17.365,18.435,18.746,20.435
15.92575,18.621,19.624,15.884,20.755,17.248,15.441,9.764,15.702,19.747,18.843,21.61,19.885749999999998,20.992,23.115,16.077,18.621,19.018,19.668,22.312,21.408,13.952,16.527545454545457,18.215,17.752,20.819,18.285,19.977899999999998,14.501,17.358,13.995,17.057,18.409625,19.798,18.731,15.853,20.345,20.345,15.639,15.332,16.936,13.989,20.767,17.557,22.081,22.018,19.661,23.115,15.868,19.798,19.188,17.135,20.401,20.185,21.031,23.314,17.206083333333332,17.06863636363636,15.652,12.986,20.718,17.275,20.3873,16.801,17.934,17.681,20.373
15.92575,18.246,18.998,15.759,20.692,16.81,15.128,9.764,15.515,18.746,18.404,21.672,19.885749999999998,20.429,22.927,15.764,18.246,18.706,19.668,21.499,20.907,13.764,16.527545454545457,17.401,18.003,20.631,17.221,19.977899999999998,13.874,17.045,13.807,16.994,18.409625,19.36,18.043,15.54,20.282,20.282,15.263,14.957,17.124,13.927,19.453,17.432,22.081,22.081,19.035,22.927,15.68,19.36,18.938,17.009,19.776,19.497,20.03,22.501,17.206083333333332,17.06863636363636,15.151,12.923,20.468,16.774,20.3873,16.425,17.559,17.18,20.56
15.92575,17.871,18.497,15.508,20.755,16.497,14.814,9.764,15.389,18.058,18.217,21.61,19.885749999999998,19.929,23.115,15.514,17.871,18.393,19.606,20.873,19.405,13.576,16.527545454545457,16.775,18.253,20.193,16.344,19.977899999999998,13.435,16.732,13.431,16.994,18.409625,18.984,17.542,15.289,20.532,20.532,14.95,14.706,17.562,13.801,18.577,17.369,22.081,22.143,18.597,23.115,15.493,18.984,18.75,16.947,19.275,18.933,19.404,21.876,17.206083333333332,17.06863636363636,14.713,12.86,20.155,16.399,20.3873,16.175,17.183,16.491,20.686
