bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID13,bedroom_ID15,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID28,bedroom_ID29,bedroom_ID31,bedroom_ID32,bedroom_ID34,bedroom_ID36,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID13,living_room_ID15,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID28,living_room_ID29,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID43
14.618,17.775,16.542,17.559,18.64,9.463,17.704,11.914,5.996,12.131,19.594,18.619,17.369,13.292,16.257,19.565,18.341,22.437,16.43,20.305,14.062,20.215,19.191,23.82,15.684,12.181,18.485,15.765,19.434,19.123,18.559,19.795,19.108,10.465,14.832,14.0,15.339,9.289,16.806,23.644,20.52,16.407,18.312,18.78,21.219,21.219,19.838,18.115,18.553,17.467,15.464,8.535,17.649,17.526,16.238,16.363,16.926,15.72,15.096
14.43,17.712,15.728,16.557,18.766,9.087,16.765,12.603,6.059,11.943,19.469,18.431,17.119,13.856,15.254,19.503,17.465,22.124,16.117,18.553,16.067,19.026,18.878,22.57,14.494,11.616,19.549,16.077,17.933,18.936,17.808,16.916,17.418,9.838,14.267,13.373,14.713,9.038,16.681,23.644,18.893,15.217,17.875,17.465,21.219,21.219,19.525,17.239,17.302,16.591,14.587,8.472,16.522,17.401,16.175,15.236,16.238,15.096,14.534
14.18,17.712,15.038,15.806,18.515,8.71,16.014,12.352,5.87,11.755,19.343,18.306,16.743,12.541,14.376,19.815,17.277,21.749,15.742,17.302,16.882,18.275,18.691,21.944,13.616,11.302,18.673,15.765,16.994,19.061,17.182,15.538,16.542,9.461,13.829,12.934,14.462,8.85,16.743,23.644,17.829,14.466,17.437,16.464,21.281,21.281,19.213,16.488,16.426,15.965,13.711,8.409,15.52,17.088,16.3,14.359,16.175,14.534,13.972
13.866,17.524,14.412,14.992,17.137,8.898,15.451,12.165,5.808,11.567,19.343,18.243,16.305,11.726,13.686,20.003,16.964,21.374,15.429,16.426,15.566,17.649,18.503,21.569,17.312,11.114,18.423,15.452,16.305,18.998,16.619,14.724,15.916,9.085,13.202,12.558,14.4,8.662,16.869,23.582,16.889,13.777,16.999,15.524,21.281,21.281,18.838,15.8,15.675,15.339,12.959,8.347,14.705,16.774,16.488,14.923,16.3,13.972,13.535
13.553,17.524,16.229,14.428,16.072,9.338,14.825,11.914,5.745,11.441,19.531,18.055,15.929,11.037,13.058,19.878,16.777,24.062,16.055,15.675,14.689,17.023,18.378,21.256,16.56,10.988,18.235,15.076,15.804,19.123,17.62,14.035,15.415,9.775,12.888,12.182,14.337,8.474,17.056,23.582,16.075,13.15,17.187,14.647,21.782,21.782,19.025,15.112,16.926,15.027,12.458,8.347,14.016,16.461,16.676,14.86,16.488,13.535,13.161
13.302,17.462,17.043,17.559,15.007,10.091,14.136,11.726,5.682,11.128,19.656,18.118,15.553,10.535,12.682,20.128,16.526,25.688,16.305,16.926,14.0,16.835,18.253,21.069,17.625,11.24,18.423,14.826,15.366,19.186,18.309,13.471,15.039,11.594,12.449,11.931,14.4,8.349,17.182,23.394,21.897,12.9,20.251,13.958,22.219,22.219,19.776,17.49,18.491,16.466,13.523,8.347,14.392,16.148,17.678,15.424,16.676,13.161,14.035
13.365,17.524,18.358,20.5,14.318,10.154,13.886,11.413,5.62,10.94,19.969,17.993,15.679,11.538,12.242,19.815,16.777,25.875,15.742,18.491,13.749,19.026,18.003,23.257,17.374,13.624,18.047,14.638,18.433,20.124,19.685,17.229,16.166,12.785,14.456,11.617,14.274,8.223,17.056,23.644,23.585,13.839,20.438,14.96,21.656,21.656,20.151,18.115,17.615,17.467,14.337,8.347,15.144,15.96,18.429,15.737,17.678,14.035,14.409
13.866,17.462,18.734,16.995,13.879,10.405,15.326,11.225,5.369,10.94,20.783,17.93,16.242,13.355,13.246,19.377,16.026,25.25,16.869,17.615,15.378,18.526,17.877,23.945,17.312,14.69,18.61,14.826,21.936,19.999,20.248,19.545,16.354,13.099,15.897,15.629,13.836,8.976,17.307,23.644,19.582,14.34,20.939,16.276,21.969,21.969,20.213,17.114,20.43,18.092,15.026,8.347,15.708,15.96,18.742,15.862,18.429,14.409,14.222
13.49,17.462,18.546,15.68,14.944,9.777,16.39,11.1,5.243,10.752,21.721,17.93,16.43,12.353,14.188,18.501,15.4,24.437,17.244,20.43,16.193,17.524,17.815,23.883,17.124,13.122,18.61,14.451,20.498,20.187,20.436,16.165,17.856,13.412,16.774,17.383,13.523,8.411,17.995,23.582,17.202,14.591,21.314,16.964,21.469,21.469,20.714,19.929,22.118,18.593,15.339,8.347,16.146,16.086,18.867,16.05,18.742,14.222,14.784
13.741,17.399,18.734,14.866,15.696,10.216,17.266,10.912,5.181,10.689,21.784,17.93,16.054,12.227,14.815,18.939,14.837,24.687,16.556,22.118,16.193,16.96,17.69,24.07,17.374,13.874,18.36,14.763,21.686,20.75,20.623,14.849,18.232,12.973,17.15,18.322,13.272,8.223,17.682,23.644,22.773,14.841,20.751,17.653,21.031,21.031,20.464,20.117,21.743,19.031,16.153,8.409,16.585,16.086,19.18,16.3,18.867,14.784,14.846
13.804,17.9,18.922,14.115,16.761,10.342,17.892,10.849,5.118,10.689,21.221,17.93,16.18,12.353,15.317,19.69,14.274,25.0,17.557,21.743,16.193,16.647,17.627,24.195,18.313,13.373,18.36,15.076,20.56,22.251,20.936,13.91,18.607,13.475,17.025,18.572,13.084,8.035,17.182,23.394,24.711,15.217,21.439,18.279,19.967,19.967,20.338,18.803,22.619,19.406,16.278,8.409,16.835,16.086,18.742,16.739,19.18,14.846,14.784
13.678,17.837,18.233,13.488,17.388,10.405,18.205,11.037,5.055,10.814,20.908,18.181,16.493,12.227,15.567,19.753,13.773,26.312,17.494,22.619,16.067,16.209,17.627,24.195,17.75,12.683,18.423,15.139,22.062,22.314,20.436,13.283,18.982,14.164,17.276,18.134,14.713,7.847,16.931,23.331,25.586,15.468,21.439,18.467,21.281,21.281,20.589,20.555,22.494,19.719,16.403,8.347,17.148,16.336,17.74,16.864,18.742,14.784,14.784
13.616,17.587,18.671,13.301,17.701,10.655,18.455,11.288,4.867,10.501,20.72,18.243,16.743,12.29,15.818,19.941,13.836,26.375,17.995,22.494,15.754,15.77,17.815,24.07,18.125,12.181,18.61,15.264,21.436,20.437,20.748,12.844,19.358,14.478,17.401,18.072,15.339,7.972,16.806,23.394,26.086,15.593,21.626,19.594,22.157,22.157,20.964,20.43,22.931,19.656,16.904,8.347,18.087,16.524,17.803,17.177,17.74,14.784,15.408
13.804,18.339,19.298,19.186,17.951,11.095,18.831,11.476,4.741,10.313,20.282,18.243,16.993,12.353,16.132,19.628,14.336,26.5,17.557,22.931,15.378,17.023,17.752,24.195,18.125,11.491,18.485,15.139,21.936,22.376,21.436,13.722,21.297,13.914,16.9,17.946,16.966,7.91,16.994,23.456,27.273,15.468,22.064,20.032,22.094,22.094,21.151,21.618,22.744,18.906,17.092,8.284,19.277,16.461,18.053,17.365,17.803,15.408,15.408
