bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID7,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID12,bedroom_ID13,bedroom_ID14,bedroom_ID15,bedroom_ID16,bedroom_ID17,bedroom_ID18,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID22,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID26,bedroom_ID28,bedroom_ID29,bedroom_ID30,bedroom_ID31,bedroom_ID32,bedroom_ID33,bedroom_ID34,bedroom_ID35,bedroom_ID36,bedroom_ID37,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID41,bedroom_ID42,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID7,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID12,living_room_ID13,living_room_ID14,living_room_ID15,living_room_ID16,living_room_ID17,living_room_ID18,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID26,living_room_ID27,living_room_ID28,living_room_ID29,living_room_ID30,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID37,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID41,living_room_ID42,living_room_ID43
15.495,18.526,16.918,20.75,18.828,14.355,0.0,16.953,14.794,10.259,16.329,0.0,18.404,0.0,21.622,0.0,0.0,0.0,19.372,15.485,20.079,0.0,19.19,20.78,20.123,0.0,18.558,21.743,0.0,14.626,18.338,0.0,13.81,0.0,22.194,0.0,20.941,15.379,17.233,0.0,0.0,18.892,20.748,19.999,18.309,21.422,18.732,15.605,0.0,15.835,16.506,18.093,14.553,0.0,17.432,0.0,22.331,0.0,0.0,0.0,22.46,18.472,18.938,22.659,20.718,20.718,19.15,0.0,0.0,19.804,20.618,0.0,17.654,19.47,14.489,19.965,20.593,18.303,0.0,20.931,18.554,19.904,0.0,0.0,19.716
15.621,18.276,16.667,20.124,18.891,14.042,0.0,16.64,16.046,10.259,16.141,0.0,18.217,0.0,21.497,0.0,0.0,0.0,19.247,15.36,20.016,0.0,18.877,20.154,19.622,0.0,18.371,20.618,0.0,16.506,17.712,0.0,13.81,0.0,21.256,0.0,20.378,15.066,16.857,0.0,0.0,18.705,19.56,19.374,18.121,20.421,18.044,15.355,0.0,15.584,16.067,17.655,14.428,0.0,17.432,0.0,21.142,0.0,0.0,0.0,21.772,17.909,18.688,22.534,20.405,20.405,18.712,0.0,0.0,19.304,19.742,0.0,17.342,18.969,14.427,19.465,20.53,18.303,0.0,20.494,18.303,19.716,0.0,0.0,19.279
15.621,18.025,16.479,19.561,18.953,13.791,0.0,16.327,15.295,10.384,15.953,0.0,18.091,0.0,21.184,0.0,0.0,0.0,19.121,14.859,19.954,0.0,20.066,19.717,19.247,0.0,18.183,19.742,0.0,15.002,17.399,0.0,13.81,0.0,21.131,0.0,19.377,14.501,16.293,0.0,0.0,18.83,19.122,18.81,17.871,19.42,17.668,15.167,0.0,15.333,15.754,17.717,14.303,0.0,17.432,0.0,20.392,0.0,0.0,0.0,20.333,17.533,18.437,22.534,20.092,20.092,18.275,0.0,0.0,18.803,19.116,0.0,17.029,18.594,14.364,18.901,20.468,18.491,0.0,19.68,18.303,19.279,0.0,0.0,18.842
15.307,17.837,16.292,19.061,18.766,13.54,0.0,16.014,15.17,10.447,15.828,0.0,17.966,0.0,20.871,0.0,0.0,0.0,18.996,14.42,19.891,0.0,20.504,19.279,18.934,0.0,17.995,19.116,0.0,14.062,17.148,0.0,13.81,0.0,20.881,0.0,18.689,14.063,15.918,0.0,0.0,18.767,18.746,18.497,17.683,18.857,17.418,15.042,0.0,15.145,15.504,17.905,14.177,0.0,17.432,0.0,20.454,0.0,0.0,0.0,19.644,17.158,18.187,22.472,19.842,19.842,17.899,0.0,0.0,18.428,18.678,0.0,16.779,18.156,14.364,18.4,20.28,18.679,0.0,18.992,18.491,18.842,0.0,0.0,18.467
15.119,17.65,16.542,18.56,18.515,14.355,0.0,15.764,14.919,10.447,15.702,0.0,17.904,0.0,21.059,0.0,0.0,0.0,18.871,14.044,19.828,0.0,20.003,19.779,20.936,0.0,18.058,18.678,0.0,13.436,16.96,0.0,13.81,0.0,20.693,0.0,18.313,13.686,15.604,0.0,0.0,18.642,18.433,18.122,17.558,18.356,17.168,14.854,0.0,15.145,15.253,18.03,13.989,0.0,17.432,0.0,21.455,0.0,0.0,0.0,19.143,16.907,18.25,22.409,21.594,21.594,17.899,0.0,0.0,18.053,19.867,0.0,16.716,17.905,14.364,17.962,20.155,18.992,0.0,18.366,18.679,18.467,0.0,0.0,18.218
14.744,18.339,17.544,20.124,18.265,14.167,0.0,15.514,14.794,10.321,16.141,0.0,17.904,0.0,20.871,0.0,0.0,0.0,18.683,13.731,19.766,0.0,19.377,19.904,22.499,0.0,18.746,19.867,0.0,12.871,17.211,0.0,13.81,0.0,20.568,0.0,19.628,13.373,16.106,0.0,0.0,18.455,18.496,21.375,18.747,17.98,16.98,16.921,0.0,16.148,15.065,18.281,13.989,0.0,17.307,0.0,21.893,0.0,0.0,0.0,23.836,16.907,20.501,22.346,21.594,21.594,18.275,0.0,0.0,18.616,20.868,0.0,17.529,18.468,14.364,18.463,20.03,19.242,0.0,18.867,18.992,18.218,0.0,0.0,18.655
14.618,18.526,16.793,22.376,17.951,13.791,0.0,16.077,14.669,10.259,17.268,0.0,17.904,0.0,20.746,0.0,0.0,0.0,18.683,14.17,19.703,0.0,20.942,19.779,23.187,0.0,18.433,20.868,0.0,12.871,20.09,0.0,13.81,0.0,22.882,0.0,20.253,14.878,15.416,0.0,0.0,18.267,20.435,22.876,18.246,21.047,17.668,15.793,0.0,17.276,14.877,18.343,15.054,0.0,17.369,0.0,23.519,0.0,0.0,0.0,22.585,17.659,19.751,22.159,20.843,20.843,18.462,0.0,0.0,19.492,20.93,0.0,17.529,19.47,14.427,18.651,19.967,19.305,0.0,19.618,19.242,18.655,0.0,0.0,18.592
15.245,18.088,16.542,22.376,17.764,13.54,0.0,17.329,14.544,10.196,16.078,0.0,17.904,0.0,20.809,0.0,0.0,0.0,18.996,15.172,19.703,0.0,20.629,19.216,23.812,0.0,18.245,20.93,0.0,14.25,19.777,0.0,13.81,0.0,23.508,0.0,20.691,16.507,17.922,0.0,0.0,18.455,20.248,21.813,17.996,22.923,17.355,15.355,0.0,16.586,19.136,18.218,14.616,0.0,17.432,0.0,23.331,0.0,0.0,0.0,20.207,17.909,19.438,22.284,20.468,20.468,18.525,0.0,0.0,19.054,19.742,0.0,19.594,19.845,14.427,18.213,20.03,19.43,0.0,20.118,19.305,18.592,0.0,0.0,18.342
15.683,18.777,16.605,21.751,18.014,13.29,0.0,17.454,14.356,10.196,15.89,0.0,17.904,0.0,20.871,0.0,0.0,0.0,18.996,14.608,19.828,0.0,19.878,20.905,25.062,0.0,18.058,19.742,0.0,15.629,19.089,0.0,13.873,0.0,23.195,0.0,21.004,15.881,16.982,0.0,0.0,18.142,20.06,22.439,17.871,22.923,18.294,15.23,0.0,16.649,19.011,18.406,14.365,0.0,17.432,0.0,22.706,0.0,0.0,0.0,20.52,18.034,19.626,23.597,22.72,22.72,18.963,0.0,0.0,19.054,21.055,0.0,21.22,19.845,14.489,17.9,20.092,20.869,0.0,21.307,19.43,18.342,0.0,0.0,18.28
16.247,18.652,16.417,21.313,18.014,13.164,0.0,17.391,14.356,10.259,17.205,0.0,17.841,0.0,20.809,0.0,0.0,0.0,18.871,14.608,19.891,0.0,19.753,19.717,24.312,0.0,17.807,21.055,0.0,15.817,18.964,0.0,13.873,0.0,23.132,0.0,20.066,15.442,17.045,0.0,0.0,17.829,19.935,22.814,17.683,22.548,18.982,15.104,0.0,17.025,18.76,18.719,14.991,0.0,17.494,0.0,22.018,0.0,0.0,0.0,19.456,18.284,20.126,23.097,21.531,21.531,19.275,0.0,0.0,19.054,21.368,0.0,20.844,19.72,14.552,17.587,20.092,19.93,0.0,20.681,20.869,18.28,0.0,0.0,18.155
15.871,18.401,16.229,21.688,18.077,13.039,0.0,17.454,14.356,10.321,17.018,0.0,17.778,0.0,20.746,0.0,0.0,0.0,18.621,17.739,19.828,0.0,20.504,19.154,25.25,0.0,17.933,21.368,0.0,16.13,18.588,0.0,13.873,0.0,23.007,0.0,18.814,15.505,17.108,0.0,0.0,17.829,19.497,22.876,17.433,22.36,19.108,14.979,0.0,17.088,18.447,18.343,15.179,0.0,17.432,0.0,22.393,0.0,0.0,0.0,24.273,17.909,21.564,22.784,20.718,20.718,19.588,0.0,0.0,19.367,21.868,0.0,19.343,19.657,14.552,17.273,20.155,19.305,0.0,19.993,19.93,18.155,0.0,0.0,17.905
